"id","course_id","module_id","chapter_name","chapter_description","added_date","modified_date","status"
"187","7","22","Essential tax components","<p>Business Income from running a business</p>

<p>Capital Gains on sale of shares or assets</p>

<p>Salaries and profits earned by directors or owners</p>

<p>License or any other fees earned by directors</p>","2019-10-22 12:43:16",NULL,"A"
"188","7","22","Tax on business income","<p>Individuals/ Proprietorships</p>

<p>Partnerships</p>

<p>LLPs</p>

<p>Companies</p>

<p>Private trusts</p>","2019-10-22 12:43:37",NULL,"A"
"189","7","22","Minimum Alternate Tax (MAT) and its applicability",,"2019-10-22 12:43:53",NULL,"A"
"190","7","22","Tax on Distribution of Profits of a Company",,"2019-10-22 12:44:06",NULL,"A"
"191","7","22","Exemptions on Public Trusts",,"2019-10-22 12:44:18",NULL,"A"
"192","7","22","Taxation of trustees and representative assessees",,"2019-10-22 12:44:28",NULL,"A"
"193","7","22","How to secure tax exemption",,"2019-10-22 12:44:39",NULL,"A"
"194","7","22","Tax exemptions for ‘startups’",,"2019-10-22 12:44:54",NULL,"A"
"195","7","23","Tax on Consultancy Fees and Royalty",,"2019-10-22 12:45:22",NULL,"A"
"196","7","23","Tax on Salary and Bonus",,"2019-10-22 12:45:32",NULL,"A"
"197","7","23","Tax on Profit Share",,"2019-10-22 12:45:43",NULL,"A"
"198","7","23","Tax on ESOPs and Sweat Equity",,"2019-10-22 12:45:54",NULL,"A"
"199","7","23","Clubbing of income and exceptions",,"2019-10-22 12:46:19",NULL,"A"
"200","7","24","Key heads for TDS deduction","<p>Income from Salary</p>

<p>Rental Income</p>

<p>Dividend Income</p>

<p>Interest Income</p>

<p>Income from Other Sources</p>","2019-10-22 12:47:06",NULL,"A"
"201","7","24","When is TDS not to be deducted?",,"2019-10-22 12:47:18",NULL,"A"
"202","7","24","Should TDS be deducted for non-taxable income?",,"2019-10-22 12:47:28",NULL,"A"
"203","7","24","Consequences of not deducting TDS",,"2019-10-22 12:47:39",NULL,"A"
"204","7","24","Equalization Levy and compliance",,"2019-10-22 12:47:50",NULL,"A"
"205","7","24","TDS credit mechanism of Google and other online operator",,"2019-10-22 12:48:02",NULL,"A"
"206","7","25","Deductions for business and professional expenditure",,"2019-10-22 12:48:32",NULL,"A"
"207","7","25","Allowable and disallowable business expenses",,"2019-10-22 12:48:49",NULL,"A"
"208","7","25","Depreciation and methods of calculation",,"2019-10-22 12:49:14",NULL,"A"
"209","7","25","Deductibility of R&D Expense",,"2019-10-22 12:49:39",NULL,"A"
"210","7","26","Startup or investment tax",,"2019-10-22 12:50:16",NULL,"A"
"211","7","26","Capital Gains on Exits","<p>Short term and long-term capital gains</p>

<p>Reinvestment</p>","2019-10-22 12:50:38",NULL,"A"
"212","7","26","Carry-forward of loss in M&A transactions",,"2019-10-22 12:50:50",NULL,"A"
"213","7","26","Tax on Amalgamations",,"2019-10-22 12:51:00",NULL,"A"
"214","7","26","Tax on Slump Sale",,"2019-10-22 12:51:10",NULL,"A"
"215","7","26","Section 281 Certificate",,"2019-10-22 12:51:22",NULL,"A"
"216","7","26","Tax on Partition",,"2019-10-22 12:51:36",NULL,"A"
"217","7","26","Accounting Standards & Taxation",,"2019-10-22 12:51:48",NULL,"A"
"218","7","27","Black Money (Undisclosed Foreign Income and Assets) and Imposition of Tax Act, 2015",,"2019-10-22 12:52:20",NULL,"A"
"219","7","27","Incentives for disclosure of black money",,"2019-10-22 12:54:31",NULL,"A"
"220","7","27","Punishment for black money under black money legislation and inc law",,"2019-10-22 12:54:42",NULL,"A"
"221","7","27","Income tax implications for black money",,"2019-10-22 12:54:54",NULL,"A"
"222","7","27","Money laundering vs. black money",,"2019-10-22 12:55:19",NULL,"A"
"223","7","27","Benami Transactions Prohibition Act , 1988 and 2016 Amendment",,"2019-10-22 12:55:48",NULL,"A"
"224","7","27","What is a benami asset or transaction?",,"2019-10-22 12:57:02",NULL,"A"
"225","7","27","Consequences of Benami Transactions","<p>Attachment of property</p>

<p>Fine</p>

<p>Imprisonment</p>","2019-10-22 12:57:28",NULL,"A"
"226","7","27","Case study of Shahrukh Khan’s bungalow",,"2019-10-22 12:57:47",NULL,"A"
"227","7","27","How to challenge attachment of property",,"2019-10-22 12:57:58",NULL,"A"
"228","7","28","Payment of taxes on time","<p>TDS</p>

<p>Income Tax</p>

<p>Capital gains</p>

<p>Advance Tax Payment</p>","2019-10-22 12:58:39",NULL,"A"
"229","7","28","Filing of Quarterly and Annual Returns",,"2019-10-22 12:58:55",NULL,"A"
"230","7","28","Tax Audits",,"2019-10-22 12:59:06",NULL,"A"
"231","7","29","Investigative powers of tax authorities","<p>Raids, search and seizure</p>

<p>Attachment and freezing of bank accounts</p>

<p>Other powers</p>","2019-10-22 12:59:52",NULL,"A"
"232","7","29","Typical stages in tax proceedings","<p>Income Tax Notice</p>

<p>Representation and Hearing Before Assessing Officer</p>

<p>CIT (Appeals)</p>

<p>ITAT</p>

<p>Appeal to High Court</p>

<p>Writ</p>

<p>SLPs</p>","2019-10-22 01:00:13",NULL,"A"
"233","7","29","Civil Consequences - Interest and Penalty",,"2019-10-22 01:00:23",NULL,"A"
"234","7","29","Criminal Consequences and imprisonment",,"2019-10-22 01:00:38",NULL,"A"
"235","7","29","Lookback provisions and record-keeping for tax",,"2019-10-22 01:00:50",NULL,"A"
"236","7","29","How tax proceedings work",,"2019-10-22 01:01:07",NULL,"A"
"237","7","29","Settlement process in tax litigation",,"2019-10-22 01:01:20",NULL,"A"
"238","7","30","Sources of International Tax Law",,"2019-10-22 01:01:48",NULL,"A"
"239","7","30","Does international tax law apply to you if you don’t have an office offshore?",,"2019-10-22 01:02:00",NULL,"A"
"240","7","30","Does international tax law apply to international payments such as Google Adwords, Amazon Web Services, etc.?",,"2019-10-22 01:02:10",NULL,"A"
"241","7","30","Model Tax Treaties and treaty interpretation of DTAAs under VCLT and OECD","<p>Structure of DTAAs</p>","2019-10-22 01:02:44",NULL,"A"
"242","7","30","Section 9 and Business Connection under Income Tax Act",,"2019-10-22 01:02:56",NULL,"A"
"243","7","30","Double Taxation Avoidance Agreements and Structure","<p>Permanent Establishment (in Model Agreements and DTAAs)</p>

<p>Capital Gains</p>

<p>Royalty</p>

<p>Fee for Technical Services</p>

<p>Tax Information Exchange Provisions</p>

<p>Tax Credit / Refund Provisions</p>","2019-10-22 01:03:23",NULL,"A"
"244","7","30","Permanent Establishment","<p>Fixed Place PE</p>

<p>Agency PE</p>

<p>Service PE</p>","2019-10-22 01:04:08",NULL,"A"
"245","7","30","Withholding tax under DTAAs and Indian law",,"2019-10-22 01:04:17",NULL,"A"
"246","7","30","Conflict between domestic law and treaties",,"2019-10-22 01:04:29",NULL,"A"
"247","7","30","Impact of General Anti-Avoidance Rule (GAAR)",,"2019-10-22 01:04:41",NULL,"A"
"248","7","30","International Tax Issues in Secondment Arrangements",,"2019-10-22 01:04:52",NULL,"A"
"249","7","31","Benefits of using tax haven structures",,"2019-10-22 01:05:17",NULL,"A"
"250","7","31","Regulation of tax havens",,"2019-10-22 01:05:28",NULL,"A"
"251","7","31","Review of capital gains provision in tax-haven DTAAs",,"2019-10-22 01:05:41",NULL,"A"
"252","7","31","Double-Irish with a Dutch Sandwich structure",,"2019-10-22 01:05:52",NULL,"A"
"253","7","31","Case study - How Google, Apple, Amazon and other global corporations save billions in taxes due to cross-border structuring",,"2019-10-22 01:06:10",NULL,"A"
"254","7","31","Case study of tax havens",,"2019-10-22 01:06:21",NULL,"A"
"255","7","31","DTAA Amendments with Mauritius, Cyprus and Singapore",,"2019-10-22 01:06:31",NULL,"A"
"256","7","31","International tax structuring - Use of SPVs and tax havens",,"2019-10-22 01:06:43",NULL,"A"
"257","7","31","Vodafone Case and subsequent amendment",,"2019-10-22 01:06:53",NULL,"A"
"258","7","31","Consequences of Round Tripping",,"2019-10-22 01:07:04",NULL,"A"
"259","7","31","Double tax treaty credit systems",,"2019-10-22 01:07:18",NULL,"A"
"260","7","32","Use of Holding Company Structures",,"2019-10-22 01:08:36",NULL,"A"
"261","7","32","How to structure a global business for tax efficiency",,"2019-10-22 01:09:19",NULL,"A"
"262","7","32","Place of Effective Management (POEM)",,"2019-10-22 01:09:29",NULL,"A"
"263","7","32","Do Commissionaire Arrangements constitute a PE?",,"2019-10-22 01:09:41",NULL,"A"
"264","7","32","Base Erosion and Profit Shifting (BEPS) on Advanced Tax Saving Strategies",,"2019-10-22 01:09:54",NULL,"A"
"265","7","32","Thin Capitalization Rules",,"2019-10-22 01:10:07",NULL,"A"
"266","7","32","Controlled Foreign Corporations",,"2019-10-22 01:10:18",NULL,"A"
"267","7","32","General Anti-Avoidance Rules (GAAR)",,"2019-10-22 01:10:28",NULL,"A"
"268","7","34","Penalties under Indian domestic law (covered)",,"2019-10-22 01:10:55",NULL,"A"
"269","6","33","Types of M&A structures and how to choose an optimal structure","<p>Court approved Mergers</p>

<p>Demergers and hive offs</p>

<p>Asset acquisitions</p>

<p>Share acquisitions</p>

<p>Business transfer and slump sale</p>","2019-10-22 01:11:03",NULL,"A"
"270","7","34","Tax avoidance vs. tax evasion",,"2019-10-22 01:11:07",NULL,"A"
"271","7","34","General Anti-Avoidance Rule (GAAR) and Special Anti-Avoidance Rule",,"2019-10-22 01:11:20",NULL,"A"
"272","7","34","FATCA",,"2019-10-22 01:11:31",NULL,"A"
"273","6","33","Special kinds of M&A transactions","<p>Leveraged acquisitions</p>

<p>Acquihire arrangements</p>

<p>Joint venture structures</p>

<p>PIPES transactions</p>","2019-10-22 01:11:32",NULL,"A"
"274","7","34","Information exchange provisions","<p>International cooperation under DTAAs</p>

<p>Tax Information Exchange Agreements (TIEAAs)</p>

<p>Case study of Switzerland&rsquo;s secrecy norms under DTAAs</p>","2019-10-22 01:11:53",NULL,"A"
"275","6","33","Commercial rationale for M&A transactions","<p>Google&rsquo;s acquisition of Motorola Mobility</p>

<p>Ola&rsquo;s acquisition of Taxi For Sure</p>

<p>Flipkart - Myntra merger</p>

<p>Myntra&rsquo;s acquisition of Jabong</p>","2019-10-22 01:11:59",NULL,"A"
"276","7","34","How to safeguard against future risks - Authority for Advanced Rulings (AAR)",,"2019-10-22 01:12:05",NULL,"A"
"277","7","34","Settlement of disputes with tax authorities",,"2019-10-22 01:12:17",NULL,"A"
"278","7","34","Transfer pricing disputes in offshore jurisdictions",,"2019-10-22 01:12:30",NULL,"A"
"279","6","33","Stages in an M&A transaction",,"2019-10-22 01:12:38",NULL,"A"
"280","6","33","Role of lawyers and advisors",,"2019-10-22 01:12:50",NULL,"A"
"281","7","35","Why should non-tax experts know about transfer pricing?",,"2019-10-22 01:13:00",NULL,"A"
"282","6","33","Difference between internal restructuring and third-party M&A",,"2019-10-22 01:13:01",NULL,"A"
"283","6","33","Difference between unlisted and listed entity transactions",,"2019-10-22 01:13:18",NULL,"A"
"284","7","35","When does transfer pricing become applicable?",,"2019-10-22 01:13:14",NULL,"A"
"285","6","33","How to draft an asset purchase agreement",,"2019-10-22 01:13:31",NULL,"A"
"286","7","35","Arms’ Length Pricing and methods","<p>Comparable uncontrolled price method (CUP)</p>

<p>Resale Price Method</p>

<p>Cost-Plus Method</p>

<p>Transactional net Margin method(TNMM)</p>

<p>Profit Split Method</p>","2019-10-22 01:13:34",NULL,"A"
"287","7","35","How to choose an appropriate method",,"2019-10-22 01:13:44",NULL,"A"
"288","6","33","How to draft a business transfer agreement",,"2019-10-22 01:13:48",NULL,"A"
"289","7","35","Role of an advanced pricing agreement (APA)",,"2019-10-22 01:13:55",NULL,"A"
"290","6","33","When to enter into a joint venture and draft a joint venture agreement",,"2019-10-22 01:14:04",NULL,"A"
"291","7","35","US-India APA",,"2019-10-22 01:14:09",NULL,"A"
"292","7","35","Associated Enterprises",,"2019-10-22 01:14:20",NULL,"A"
"293","7","35","Permanent Establishment",,"2019-10-22 01:14:35",NULL,"A"
"294","7","35","Safe Harbour Rules",,"2019-10-22 01:14:47",NULL,"A"
"295","7","35","Place of Effective Management",,"2019-10-22 01:14:59",NULL,"A"
"296","7","35","Sample Transfer Pricing Agreement",,"2019-10-22 01:15:10",NULL,"A"
"297","7","36","How to calculate stamp duty",,"2019-10-22 01:15:37",NULL,"A"
"298","7","36","Stamp duty for","<p>Licensing</p>

<p>Asset Purchase</p>

<p>Investment Transactions</p>

<p>Amalgamations</p>

<p>Loan Transactions</p>

<p>Security Creation: Pledge, Mortgage and Hypothecation</p>","2019-10-22 01:16:00",NULL,"A"
"299","7","36","Stamp duty exemptions for intra-group transactions",,"2019-10-22 01:16:13",NULL,"A"
"300","7","36","Consequences of insufficient or no stamping",,"2019-10-22 01:16:24",NULL,"A"
"301","7","36","Expiry of stamp paper",,"2019-10-22 01:16:36",NULL,"A"
"302","7","36","Implication of bringing an instrument into another state",,"2019-10-22 01:16:48",NULL,"A"
"303","6","33","Acquisition Financing: Strategies and Documentation","<p>Equity issuance</p>

<p>NBFC Debt</p>

<p>Parent and Associate Company Loans</p>

<p>Domestic and Cross-border loans</p>

<p>Leveraged financing and buyouts in India</p>

<p>Delisting</p>

<p><strong>Handout:</strong>&nbsp;Sample term sheet</p>

<p><strong>Handout:</strong>&nbsp;Business transfer agreement</p>

<p><strong>Handout:</strong>&nbsp;Asset purchase agreement</p>

<p><strong>Handout:</strong>&nbsp;Transition services agreement</p>

<p><strong>Handout:</strong>&nbsp;Joint venture agreement</p>

<p><strong>Handout:</strong>&nbsp;Sample loan agreement from related party</p>","2019-10-22 01:17:15",NULL,"A"
"304","7","37","Need of GST",,"2019-10-22 01:17:16",NULL,"A"
"305","7","37","Substituted taxes and surviving taxes",,"2019-10-22 01:17:27",NULL,"A"
"306","7","37","Types and rates of GST",,"2019-10-22 01:17:37",NULL,"A"
"307","7","37","Concept of ‘supply’, ‘place of supply’, ‘aggregate annual turnover’",,"2019-10-22 01:17:48",NULL,"A"
"308","7","37","Determination of place of supply in complex scenarios",,"2019-10-22 01:17:57",NULL,"A"
"309","6","38","Introduction to share acquisitions",,"2019-10-22 01:18:00",NULL,"A"
"310","7","37","Zero and nil-rated supply",,"2019-10-22 01:18:07",NULL,"A"
"311","7","37","Forward charge mechanism and reverse charge mechanism",,"2019-10-22 01:18:18",NULL,"A"
"312","6","38","Stages of raising investment",,"2019-10-22 01:18:19",NULL,"A"
"313","6","38","Financial Vs. strategic investment",,"2019-10-22 01:18:30",NULL,"A"
"314","6","38","Restrictions imposed by investors",,"2019-10-22 01:18:44",NULL,"A"
"315","7","37","GST Registration: Requirements, process and exceptions",,"2019-10-22 01:18:42",NULL,"A"
"316","7","37","Input tax credit and when it is not available",,"2019-10-22 01:18:53",NULL,"A"
"317","6","38","Drag-Along and Tag Along rights",,"2019-10-22 01:18:58",NULL,"A"
"318","7","37","Composition scheme: Eligibility, rate of tax, compliance and advantages",,"2019-10-22 01:19:06",NULL,"A"
"319","6","38","Right of first refusal and right of first offer",,"2019-10-22 01:19:10",NULL,"A"
"320","7","37","TDS in GST",,"2019-10-22 01:19:19",NULL,"A"
"321","6","38","Important documents in an investment transaction",,"2019-10-22 01:19:22",NULL,"A"
"322","7","37","GST Refund",,"2019-10-22 01:19:30",NULL,"A"
"323","6","38","Shareholders Agreement",,"2019-10-22 01:19:34",NULL,"A"
"324","7","37","GST Returns and online filing process",,"2019-10-22 01:19:40",NULL,"A"
"325","6","38","Dealing with multiple investors",,"2019-10-22 01:19:44",NULL,"A"
"326","7","37","Impact of GST on import and export of Goods and Services",,"2019-10-22 01:19:56",NULL,"A"
"327","7","37","E-way Bills",,"2019-10-22 01:20:10",NULL,"A"
"328","6","38","Corporate Law Concepts for M&A and Investment Transactions","<p style=""text-align: justify;"">Constitutional documents of the company</p>

<p style=""text-align: justify;"">Shareholding pattern (Current and Fully Diluted)</p>

<p style=""text-align: justify;"">Authorized capital and increase process</p>

<p style=""text-align: justify;"">Process of share issuance</p>

<p style=""text-align: justify;"">Types of securities - Equity, convertible or redeemable preference shares, notes, debentures and warrants</p>","2019-10-22 01:20:19",NULL,"A"
"329","7","37","Invoice Format",,"2019-10-22 01:20:19",NULL,"A"
"330","7","37","Debit - Credit Note",,"2019-10-22 01:20:33",NULL,"A"
"331","6","38","Key Interests of an acquirer or investor","<p>Dividend payouts</p>

<p>Voting and Management</p>

<p>Board and Shareholder Powers</p>

<p>Transactions between Related Parties</p>

<p>Executive Remuneration</p>

<p>Change of control</p>","2019-10-22 01:20:58",NULL,"A"
"332","7","39","Tax Litigation: Drafting and Filings before the following authorities","<p>Assessing Officer and CIT(Appeals)</p>

<p>Income Tax Appellate Tribunal</p>

<p>High Court</p>

<p>Settlement Commission proceedings</p>

<p>Authority for Advanced Rulings</p>","2019-10-22 01:21:08",NULL,"A"
"333","6","38","Role of lawyers, bankers and compliance professionals",,"2019-10-22 01:21:10",NULL,"A"
"334","7","39","Indirect Tax Litigation - Drafting, strategy and filing work",,"2019-10-22 01:21:20",NULL,"A"
"335","6","38","Venture Capital and Private Equity Deals","<p><strong>Handout:</strong>&nbsp;Shareholders agreement</p>

<p><strong>Handout:</strong>&nbsp;Share purchase agreement</p>

<p><strong>Handout:</strong>&nbsp;Share subscription agreement</p>","2019-10-22 01:22:09",NULL,"A"
"336","6","40","FDI in structuring and investment transactions (Video)",,"2019-10-22 01:22:57",NULL,"A"
"337","6","40","Business structures and sectors in which FDI is permitted",,"2019-10-22 01:23:06",NULL,"A"
"338","6","40","Methods of capital contribution by foreign investors",,"2019-10-22 01:23:18",NULL,"A"
"339","6","40","Automatic vs. approval routes (Video)",,"2019-10-22 01:23:27",NULL,"A"
"340","6","40","Approval route in detail",,"2019-10-22 01:23:40",NULL,"A"
"341","6","40","FDI and regulatory approvals",,"2019-10-22 01:23:51",NULL,"A"
"342","6","40","FDI in corporate groups and calculation of FDI",,"2019-10-22 01:24:00",NULL,"A"
"343","6","40","Operational issues pertaining to FDI",,"2019-10-22 01:24:11",NULL,"A"
"344","6","40","Pricing guidelines, documentation and other compliance requirements",,"2019-10-22 01:24:31",NULL,"A"
"345","6","40","Repatriation of exit proceeds",,"2019-10-22 01:25:20",NULL,"A"
"346","6","40","FDI in e-commerce and cross border acquisitions [Walmart - Flipkart]",,"2019-10-22 01:25:36",NULL,"A"
"347","6","40","Convertible note issuance to foreign investors and acquirers",,"2019-10-22 01:25:46",NULL,"A"
"348","6","40","Overseas acquisitions by Indian companies: Conditions and financing regulations","<p><strong>Handout:</strong>&nbsp;Sample convertible note</p>

<p><strong>Handout:</strong>&nbsp;Sample application for approval, list of documents</p>","2019-10-22 01:26:17",NULL,"A"
"349","6","41","Takeover Code and Open Offer Requirements",,"2019-10-22 01:26:53",NULL,"A"
"350","6","41","When is the Takeover Code triggered?",,"2019-10-22 01:27:01",NULL,"A"
"351","6","41","Rationale behind making ‘open offers’",,"2019-10-22 01:27:13",NULL,"A"
"352","6","41","Voluntary, conditional and competing open offers",,"2019-10-22 01:27:21",NULL,"A"
"353","6","41","Open offer requirements upon acquisition of shares or control",,"2019-10-22 01:27:33",NULL,"A"
"354","6","41","Mechanisms for acquisition of control (without share acquisition)",,"2019-10-22 01:27:46",NULL,"A"
"355","6","41","Indirect and creeping acquisition",,"2019-10-22 01:27:58",NULL,"A"
"356","6","41","Preparation and publication of open offer","<p>Offer size</p>

<p>Computation of price</p>

<p>Escrow requirements</p>

<p>How to obtain situation-based exemptions</p>

<p>Time period of the open offer</p>

<p>Cash and Stock Consideration</p>","2019-10-22 01:28:21",NULL,"A"
"357","6","41","Takeover Defenses and their validity","<p>Issuance of further shares (poison pill defense)</p>

<p>Transfer of undertaking (asset stripping)</p>

<p>White knigh</p>","2019-10-22 01:28:43",NULL,"A"
"358","6","41","Private Investment in Public Equity (PIPES) Transactions",,"2019-10-22 01:28:53",NULL,"A"
"359","6","41","Role of directors of acquiring and target companies",,"2019-10-22 01:29:02",NULL,"A"
"360","6","41","Exemptions from takeover code granted by SEBI","<p><strong>Handout:</strong>&nbsp;Sample open offer document</p>

<p><strong>Handout:</strong>&nbsp;Step plan for executing an open offer</p>","2019-10-22 01:29:34",NULL,"A"
"361","6","42","How to structure a merger",,"2019-10-22 01:30:01",NULL,"A"
"362","6","42","Shareholder and lender consents and objections",,"2019-10-22 01:30:10",NULL,"A"
"363","6","42","Checklist or step by step to an M&A transaction",,"2019-10-22 01:30:19",NULL,"A"
"364","6","42","How to draft a Scheme of Arrangement",,"2019-10-22 01:30:28",NULL,"A"
"365","6","42","Securing NCLT approval to an M&A transaction","<p><strong>Handout:</strong>&nbsp;Scheme of Arrangement - Merger</p>

<p><strong>Handout:</strong>&nbsp;Scheme of Arrangement - Demerger</p>","2019-10-22 01:30:58",NULL,"A"
"366","6","43","How to deal with promoter earnouts, promoter exits and non compete fees in acquisitions",,"2019-10-22 01:31:53",NULL,"A"
"367","6","43","How to terminate top management",,"2019-10-22 01:32:07",NULL,"A"
"368","6","43","Transition and non-compete arrangements with promoters",,"2019-10-22 01:32:17",NULL,"A"
"369","6","43","How to handle ESOP Transitions",,"2019-10-22 01:32:25",NULL,"A"
"370","6","43","How to lay off employees and labourers pursuant to an M&A transaction","<p><strong>Handout:</strong>&nbsp;Sample CXO employment agreement with golden handshake and other protective clauses</p>

<p><strong>Handout:</strong>&nbsp;Sample ESOP plan with acceleration and other clauses</p>","2019-10-22 01:32:47",NULL,"A"
"371","6","44","Tax issues in investment and M&A transactions","<p>Capital gains impact of exits and sell-offs</p>

<p>Startup tax on investments and exemptions</p>

<p>International tax structuring - Use of SPVs and tax havens</p>

<p>Benefits of carry-forward of loss and depreciation</p>

<p>Place of effective management and its relevance</p>","2019-10-22 01:33:41",NULL,"A"
"372","6","44","Stamp duty on the following","<p>Asset purchase transactions</p>

<p>Business transfer agreements</p>

<p>Share purchase agreements</p>

<p>Court-approved mergers</p>","2019-10-22 01:35:21",NULL,"A"
